Activity,Role
6,4
7,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
2,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
8,4
9,4
9,4
1,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
8,4
9,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
5,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
1,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
2,4
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
8,4
9,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
5,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
3,2
1,4
3,4
6,4
6,4
7,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
5,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
1,4
7,4
5,4
1,4
3,2
6,4
6,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
9,4
1,4
3,2
2,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
5,4
7,4
8,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
2,4
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
1,4
3,2
6,4
1,4
3,2
2,4
6,4
7,4
1,4
3,2
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
9,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
2,4
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
5,4
7,4
5,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
3,2
2,4
6,4
7,4
1,4
3,2
6,4
7,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
7,4
5,4
7,4
1,4
3,2
7,4
5,4
7,4
1,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
3,2
6,4
6,4
7,4
5,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
5,4
5,4
1,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
2,4
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
9,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,2
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
2,4
7,4
1,4
3,2
6,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
7,4
1,4
3,2
6,4
7,2
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
2,4
6,4
7,4
1,4
3,2
7,4
1,4
3,2
6,4
7,4
5,4
5,4
7,4
1,4
3,2
2,4
6,4
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
2,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
5,4
7,4
5,4
7,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
5,4
1,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
9,4
5,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
9,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
9,4
9,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
1,4
3,2
6,4
7,4
9,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
5,4
5,4
1,4
3,2
6,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
5,4
1,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
5,4
5,4
1,4
3,2
6,4
6,4
7,4
5,4
5,4
7,4
1,4
3,2
6,4
7,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
9,4
1,4
2,4
5,4
5,4
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
5,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
2,4
6,4
7,4
1,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
2,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
9,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
9,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
7,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
9,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
9,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
5,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
8,4
9,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
9,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
5,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
5,4
5,4
6,4
7,4
5,4
1,4
3,2
6,4
5,4
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
5,4
5,4
1,4
3,2
6,4
7,4
5,4
5,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
5,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
1,4
3,2
7,4
1,4
3,2
6,4
7,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
5,4
7,4
1,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
7,4
7,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
2,4
6,4
7,4
1,4
3,2
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
2,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
2,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
8,4
1,4
3,2
6,4
7,4
5,4
1,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
1,4
3,2
6,4
7,4
1,4
3,2
7,4
5,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
5,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
5,4
1,4
3,2
6,4
7,4
5,4
1,4
3,2
6,4
7,4
1,4
3,2
7,4
1,4
3,2
6,4
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
5,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
6,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
1,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
1,4
3,2
6,4
7,4
5,4
7,4
1,4
3,2
2,4
6,4
7,4
1,4
3,2
6,4
7,4
